
#model:
#
#<distribution id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="snap.likelihood.SnAPPrior">
#        <parameter id="alpha" name="alpha" value="2.0" lower="0.0" dimension="1">
#        </parameter>
#        <parameter id="beta" name="beta" value="200.0" lower="0.0" dimension="1">
#        </parameter>
#        <parameter id="lambda" name="lambda" value="10.0" lower="0.0" dimension="1">
#        </parameter>
#        <parameter id="gamma" spec="snap.GammaParameter" name="gamma" initFromTree="false" pattern="gamma" value="1.0" dimension="7">
#        </parameter>
#        <tree id="tree" spec="beast.util.ClusterTree" clusterType="upgma" nodetype="snap.NodeData">
#        </tree>
#    </distribution>
#</distribution>
#
Sample	2/gamma0	2/gamma1	2/gamma2	2/gamma3	2/gamma4	2/gamma5	2/gamma6	tree.height	
0	0.008198998041675789	0.012170925661533757	0.007636141456537557	0.0065598643594809705	0.0018746801428980108	0.010224621673212886	0.015963097537424805	0.13581436461672894	
100000	0.0059644509202202755	0.00864058872196166	0.014471197004830046	0.0045921606379312205	0.0198201446126698	0.010577437456124623	0.014606674914285755	0.008587383859840297	
200000	0.010986317247099194	0.008171602657062451	0.022704537998912033	0.00717047202376701	0.01738503504050481	0.016140794518867744	0.010266742868420458	0.07282960464586236	
300000	0.02014503903358442	0.015130018041174201	0.025827267761538545	0.015498742044372484	0.008066025009786362	0.0015467639126726614	0.007885280850212322	0.07627840271157649	
400000	0.003483170938138008	0.009861823049608653	0.00932336691705698	0.0155493754595371	0.04384754605888774	0.014851169215534905	0.015149398906292555	0.05034614936298273	
500000	0.00341679466113903	0.004441718364709568	0.005608459214906521	0.00941169856542499	0.01137653693789965	0.010667012940323043	0.005150606725217464	0.11980206464145397	
600000	0.004893617507799983	0.008832503383636064	0.012420650135849956	0.002255014349459596	0.0027069624893975085	0.01371599883202202	0.0010217796177392035	0.05362987595922766	
700000	0.011755498701557626	0.00743895699324766	0.0043792333472984285	0.0033789575573012834	0.005535242250497799	0.014394804740689125	0.004276838319156627	0.032095263300734304	
800000	0.006877511178837329	0.0025542516158234066	0.011276826109198477	0.010867654299996542	0.004522617236930992	0.009423525009829046	0.006465390992555034	0.07844305032347142	
900000	0.012060433546724505	0.008427269122395612	0.006787268618039371	0.005612164577122764	0.012874918381916045	0.004387688923937605	0.006359157805545569	0.015494499894049225	
