
#model:
#
#<distribution id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="snap.likelihood.SnAPPrior">
#        <parameter id="alpha" name="alpha" value="2.0" lower="0.0" dimension="1">
#        </parameter>
#        <parameter id="beta" name="beta" value="200.0" lower="0.0" dimension="1">
#        </parameter>
#        <parameter id="lambda" name="lambda" value="10.0" lower="0.0" dimension="1">
#        </parameter>
#        <parameter id="gamma" spec="snap.GammaParameter" name="gamma" initFromTree="false" pattern="gamma" value="1.0" dimension="15">
#        </parameter>
#        <tree id="tree" spec="beast.util.ClusterTree" clusterType="upgma" nodetype="snap.NodeData">
#        </tree>
#    </distribution>
#</distribution>
#
Sample	2/gamma0	2/gamma1	2/gamma2	2/gamma3	2/gamma4	2/gamma5	2/gamma6	2/gamma7	2/gamma8	2/gamma9	2/gamma10	2/gamma11	2/gamma12	2/gamma13	2/gamma14	tree.height	
0	0.012123192705300977	0.005553774298511676	0.011002583410676472	0.0077477579101050045	0.02089362099146091	0.00826008667859408	0.010202904438402629	0.05239057783087087	0.0015769157411311032	0.013900398107308918	0.013777166648884459	0.02762935029032436	0.030108724167724966	0.0030223038099107214	7.781028229881312E-4	0.10322720415516264	
100000	0.00954186906906595	0.011890715406360133	0.001974427708961468	0.011463807071786214	0.0029138474275251735	0.007866253182089595	0.0024876594346566324	0.005178042107273552	0.00847651447001588	0.004590115311617946	0.02056229968648008	0.007642047430168659	0.01967578398310839	0.004397676862873468	0.003653621549284045	0.015379715363384786	
200000	0.006244585196649325	0.023663700267081495	0.0072082158876738455	0.009556794367149271	0.008043975880878884	0.007326704241693679	0.003707166320805936	0.0030558103676679685	0.01978144841391486	7.823124169584961E-4	0.012034747124094814	0.006685803877043481	0.002799675605763606	0.0016541673139664904	0.005670638138477666	0.09583747487477452	
300000	0.009434070145451915	0.02135538516304192	0.013501376852009082	0.0068010212004982066	0.0014239720085632522	0.0220987984994204	0.004817754110691679	0.01130138357263447	0.005058650301548124	0.0031380338611168472	0.009676164591112814	0.005967849046506799	0.005533260163214074	0.007139742797328916	0.03771276092507039	0.06042996004839838	
400000	0.006147214010277164	0.0028396942524177107	0.005267427122328138	0.0068639592059573365	0.006206232678477005	0.018054743347055785	0.004630594454779452	0.002697859146218494	0.001606786729206167	0.02188511327186623	0.009520699588362484	0.0032695125169223183	0.016594446134330972	0.013722221298670647	0.007503459836987953	0.012532194684889489	
500000	0.02662390403922842	0.010039286179247327	0.005274136292090032	0.017291538840872547	0.008957303361638979	0.007694983021315987	0.006207535541414155	0.009651387668339055	0.018847843079626628	0.0056239962019287585	0.0091640306816281	0.011098720448232001	0.007640311994706432	0.01961107872004217	0.01334769807016875	0.05018574691218893	
600000	0.01567952929949386	0.010924925232360272	0.02413725264342477	0.012882826459030655	0.014714020769634779	0.0011604122807951501	0.006893231950140554	0.004219592527632585	0.03810447291911716	0.009122139412089857	0.01971847942961183	0.0038017556751651052	0.01666463932940537	0.014395716629295409	0.0037596467885454713	0.016980047138262924	
700000	0.012401734030875357	0.010727953923834528	0.009188572710097664	0.010958757963845515	0.026227580975864986	0.004648790377490634	0.008697501059366508	0.004351077644741309	0.0037275029577854882	0.011442332324852887	0.009698482950643239	5.086091831875025E-4	0.020068597812999755	0.01641013636737467	0.006854465592946375	0.1202583342671372	
800000	0.004781119713294469	0.007908305486134203	0.017884642259085346	0.005456177034226647	0.0073490583231014895	0.02063052926928555	0.007109766243652025	0.024937106607767837	0.005027175538310837	0.0021403341503363287	0.012845323506765384	0.00982041667494075	6.965743001371402E-4	0.001252847180547219	0.003393896815049543	0.07059951689195969	
900000	0.005631719634032668	0.0030910562822647164	8.799119426142832E-4	0.008447401987445917	0.0019455049681169473	0.00873888719739522	0.01072782345590529	0.012052275582380298	0.011195062317674863	0.0030366373359059988	0.02189183126331573	0.0020455127914988463	0.0054976523871915085	0.01012535008328772	0.014832226846099979	0.020530835343472515	
